GeneticID	PCA1	PCA2	Group	Period
NA15758.HO	-0.0298	0.0084	Icelandic	Modern
NA15766.HO	-0.031	0.0036	Icelandic	Modern
NA17377.HO	-0.0012	-0.0039	Greek	Modern
NA15199.HO	-0.0238	0.0041	Hungarian	Modern
NA15207.HO	-0.0216	0.0103	Hungarian	Modern
NA15730.HO	-0.0247	0.0045	Czech	Modern
NA15759.HO	-0.0314	0.0041	Icelandic	Modern
NA15200.HO	-0.0257	0.0072	Hungarian	Modern
NA15208.HO	-0.0235	0.0015	Hungarian	Modern
NA15731.HO	-0.0278	0.0088	Czech	Modern
NA15760.HO	-0.0326	0.008	Icelandic	Modern
NA15201.HO	-0.0217	0.0043	Hungarian	Modern
NA15724.HO	-0.0287	0.0104	Czech	Modern
NA15732.HO	-0.029	0.0119	Czech	Modern
NA15761.HO	-0.0331	0.008	Icelandic	Modern
NA17372.HO	0.0054	-0.0062	Greek	Modern
HG00104.HO	-0.0254	0.0045	Scottish	Modern
HG01500.HO	-0.0102	-0.0297	Spanish	Modern
HG01501.HO	-0.0112	-0.0285	Spanish	Modern
HG01503.HO	-0.0143	-0.0287	Spanish	Modern
HG01504.HO	-0.0108	-0.0353	Spanish	Modern
HG01506.HO	-0.0136	-0.0278	Spanish	Modern
HG01507.HO	-0.0147	-0.0276	Spanish	Modern
HG01509.HO	-0.0091	-0.0314	Spanish	Modern
HG01510.HO	-0.0149	-0.0244	Spanish	Modern
HG01512.HO	-0.019	-0.0279	Spanish	Modern
HG01513.HO	-0.0179	-0.0314	Spanish	Modern
HG01524.HO	-0.0115	-0.0289	Spanish	Modern
HG01527.HO	-0.0096	-0.0319	Spanish	Modern
HG01528.HO	-0.0131	-0.0361	Spanish	Modern
HG01530.HO	-0.0135	-0.0273	Spanish	Modern
HG01536.HO	-0.0166	-0.0236	Spanish	Modern
HG01537.HO	-0.015	-0.022	Spanish	Modern
HG01605.HO	-0.0146	-0.0292	Spanish	Modern
HG01606.HO	-0.0171	-0.0282	Spanish	Modern
HG01607.HO	-0.01	-0.0271	Spanish	Modern
HG01608.HO	-0.0152	-0.0283	Spanish	Modern
HG01613.HO	-0.0135	-0.0251	Spanish	Modern
HG01615.HO	-0.0137	-0.0221	Spanish	Modern
HG01617.HO	-0.0117	-0.0284	Spanish	Modern
HG01618.HO	-0.0126	-0.0247	Spanish	Modern
HG01619.HO	-0.0102	-0.0325	Spanish	Modern
HG01620.HO	-0.0103	-0.029	Spanish	Modern
HG01623.HO	-0.011	-0.0342	Spanish	Modern
HG01624.HO	-0.0106	-0.0342	Spanish	Modern
HG01625.HO	-0.0133	-0.0223	Spanish	Modern
HG01626.HO	-0.003	-0.0277	Spanish	Modern
HG01747.HO	-0.0142	-0.0271	Spanish	Modern
HG01746.HO	-0.0167	-0.029	Spanish	Modern
HG01675.HO	-0.0164	-0.0323	Spanish	Modern
HG01680.HO	-0.0159	-0.0301	Spanish	Modern
HG01682.HO	-0.0181	-0.0269	Spanish	Modern
HG01679.HO	-0.0154	-0.0314	Spanish	Modern
HG01676.HO	-0.0196	-0.0341	Spanish	Modern
HG01684.HO	-0.0163	-0.028	Spanish	Modern
HG01705.HO	-0.0126	-0.0332	Spanish	Modern
HG01707.HO	-0.0142	-0.028	Spanish	Modern
HG01685.HO	-0.0094	-0.0273	Spanish	Modern
HG01686.HO	-0.0156	-0.0278	Spanish	Modern
HG01704.HO	-0.0092	-0.0291	Spanish	Modern
