Genetic ID	Master ID
I14807.AG	I14807
I7632.AG	I7632
I19045.AG	I19045
I13730.AG	I13730
I16595.AG	I16595
I31940.TW	I31940
I14380.AG	I14380
I35720.TW	I35720
I36761.TW	I36761
I14804.AG	I14804
I19914.AG	I19914
I20583.AG	I20583
I19207.AG	I19207
I14860.AG	I14860
I16592.AG	I16592
I19656.AG	I19656
I21275.AG	I21275
I36892.TW	I36892
I36978.TW	I36978
I12778.AG	I12778
I14806.AG	I14806
I11156.AG	I11156
I12939.AG	I12939
I21276.AG	I21276
I14800.AG	I14800
I16593.AG	I16593
I19044.AG	I19044
I19046.AG	I19046
I21179.AG	I21179
I11150.AG	I11150
I11151.AG	I11151
I11997.AG	I11997
I13728.AG	I13728
I14859.AG	I14859
I16421.TW	I16421
I17014.AG	I17014
I17015.AG	I17015
I19909.AG	I19909
I33054.TW	I33054
I14866.AG	I14866
I16410.AG.TW	I16410
I16410.AG	I16410
I16410.TW	I16410
I16475.AG	I16475
I16514.AG	I16514
I17016.AG	I17016
I12770.AG	I12770
I12775.AG	I12775
I12779.AG	I12779
I14863.AG	I14863
I17264.AG	I17264
I17267.AG	I17267
I20588.AG	I20588
I20988.AG	I20988
I21277.AG	I21277
I33146.TW	I33146
I33147.TW	I33147
S41284_Shoal.2_SQ.TW	I41284
S41285_Shoal.2_SQ.TW	I41285
S42806_Rabble.11_SQ.TW	I42806
I13680.AG	I13680
I14347.AG	I14347
I14803.AG	I14803
I17261.AG	I17261
I39401.TW	I39401
I13687.AG	I13687
I14348.AG	I14348
I19912.AG	I19912
I33056.TW	I33056
I20990.AG	I20990
I39397.TW	I39397
I20582.AG	I20582
I31941.TW	I31941
I13686.AG	I13686
I14801.AG	I14801
I35714.TW	I35714
I35715.TW	I35715
I35716.TW	I35716
I35717.TW	I35717
I35718.TW	I35718
I35723.TW	I35723
I35727_v57.1.TW	I35727
I35728_v57.1.TW	I35728
S35729_Scrum.1.SS_SQ.TW	I35729
S35729_Scrum.1.DS_SQ.TW	I35729
I35729.TW	I35729
I35730_v57.1.TW	I35730
I35730_v57.1.TW_d	I35730
I35731_v57.1.TW	I35731
I35732_v57.1.TW	I35732
I35733_v57.1.TW	I35733
I35734_v57.1.TW	I35734
I35735_v57.1.TW	I35735
I35762.TW	I35762
I35763.TW	I35763
I35764.TW	I35764
I35767.TW	I35767
I35768.TW	I35768
I35769.TW	I35769
I35770.TW	I35770
I35771_d.TW	I35771
I35772_d.TW	I35772
I35773.TW	I35773
I35774.TW	I35774
I35987.TW	I35987
I35988.TW	I35988
I35989_v57.1.TW	I35989
I35991_v57.1.TW	I35991
I35992_v57.1.TW	I35992
I35994_v57.1.TW	I35994
I35995_v57.1.TW	I35995
I35996_v57.1.TW	I35996
I35997_v57.1.TW	I35997
I36102.TW	I36102
